model,parameter_signature,mean_test_score,std_test_score,fold_1_balanced_accuracy,fold_2_balanced_accuracy,fold_3_balanced_accuracy,fold_4_balanced_accuracy,fold_5_balanced_accuracy,param_C,param_class_weight,param_max_depth,param_min_samples_leaf,param_ccp_alpha,param_kernel
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=5; min_samples_leaf=1,0.5338833570412518,0.04767659546273678,0.5637268847795164,0.5163584637268848,0.5712660028449502,0.5704125177809388,0.44765291607396873,,balanced,5.0,1.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=5; min_samples_leaf=1,0.5338833570412518,0.04767659546273678,0.5637268847795164,0.5163584637268848,0.5712660028449502,0.5704125177809388,0.44765291607396873,,balanced,5.0,1.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=5; min_samples_leaf=1,0.5338833570412518,0.04767659546273678,0.5637268847795164,0.5163584637268848,0.5712660028449502,0.5704125177809388,0.44765291607396873,,balanced,5.0,1.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=5; min_samples_leaf=1,0.5311806543385491,0.04669562653143681,0.5529160739687056,0.5136557610241821,0.5712660028449502,0.5704125177809388,0.44765291607396873,,balanced,5.0,1.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=5; min_samples_leaf=5,0.4997155049786629,0.008454338123055636,0.5,0.4864864864864865,0.4972972972972973,0.5128022759601707,0.5019914651493599,,,5.0,5.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=5; min_samples_leaf=5,0.4997155049786629,0.008454338123055636,0.5,0.4864864864864865,0.4972972972972973,0.5128022759601707,0.5019914651493599,,,5.0,5.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=5; min_samples_leaf=5,0.4997155049786629,0.008454338123055636,0.5,0.4864864864864865,0.4972972972972973,0.5128022759601707,0.5019914651493599,,,5.0,5.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=5; min_samples_leaf=5,0.49917496443812237,0.008331576468947248,0.5,0.4891891891891892,0.4918918918918919,0.5128022759601707,0.5019914651493599,,,5.0,5.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=5; min_samples_leaf=5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,5.0,5.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=5; min_samples_leaf=5,0.5317211948790896,0.04810111719913343,0.5610241820768137,0.5136557610241821,0.5685633001422474,0.5704125177809388,0.444950213371266,,balanced,5.0,5.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=5; min_samples_leaf=5,0.5317211948790896,0.04810111719913343,0.5610241820768137,0.5136557610241821,0.5685633001422474,0.5704125177809388,0.444950213371266,,balanced,5.0,5.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=5; min_samples_leaf=5,0.5317211948790896,0.04810111719913343,0.5610241820768137,0.5136557610241821,0.5685633001422474,0.5704125177809388,0.444950213371266,,balanced,5.0,5.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=5; min_samples_leaf=5,0.5317211948790896,0.04810111719913343,0.5610241820768137,0.5136557610241821,0.5685633001422474,0.5704125177809388,0.444950213371266,,balanced,5.0,5.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=5; min_samples_leaf=5,0.5306401137980086,0.04748720470677353,0.5556187766714082,0.5136557610241821,0.5685633001422474,0.5704125177809388,0.444950213371266,,balanced,5.0,5.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=5; min_samples_leaf=10,0.5118634423897582,0.015026239555198833,0.539118065433855,0.5,0.4972972972972973,0.5155049786628734,0.5073968705547653,,,5.0,10.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=5; min_samples_leaf=10,0.5118634423897582,0.015026239555198833,0.539118065433855,0.5,0.4972972972972973,0.5155049786628734,0.5073968705547653,,,5.0,10.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=5; min_samples_leaf=10,0.5118634423897582,0.015026239555198833,0.539118065433855,0.5,0.4972972972972973,0.5155049786628734,0.5073968705547653,,,5.0,10.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=5; min_samples_leaf=10,0.5025604551920342,0.006556360442856722,0.5,0.5,0.4972972972972973,0.5155049786628734,0.5,,,5.0,10.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=5; min_samples_leaf=10,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,5.0,10.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=5; min_samples_leaf=10,0.5268563300142247,0.051224859280081136,0.5421052631578948,0.5136557610241821,0.5739687055476529,0.5704125177809388,0.4341394025604552,,balanced,5.0,10.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=5; min_samples_leaf=10,0.5268563300142247,0.051224859280081136,0.5421052631578948,0.5136557610241821,0.5739687055476529,0.5704125177809388,0.4341394025604552,,balanced,5.0,10.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=5; min_samples_leaf=10,0.5268563300142247,0.051224859280081136,0.5421052631578948,0.5136557610241821,0.5739687055476529,0.5704125177809388,0.4341394025604552,,balanced,5.0,10.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=5; min_samples_leaf=10,0.5268563300142247,0.051224859280081136,0.5421052631578948,0.5136557610241821,0.5739687055476529,0.5704125177809388,0.4341394025604552,,balanced,5.0,10.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=5; min_samples_leaf=10,0.5225320056899003,0.04907498711359827,0.5421052631578948,0.5136557610241821,0.5577524893314367,0.5677098150782361,0.43143669985775246,,balanced,5.0,10.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=None; min_samples_leaf=1,0.5019630156472262,0.025166217968093672,0.5229018492176387,0.4776671408250356,0.5120910384068279,0.4668563300142248,0.530298719772404,,,,1.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=None; min_samples_leaf=1,0.5019630156472262,0.025166217968093672,0.5229018492176387,0.4776671408250356,0.5120910384068279,0.4668563300142248,0.530298719772404,,,,1.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=None; min_samples_leaf=1,0.5019630156472262,0.025166217968093672,0.5229018492176387,0.4776671408250356,0.5120910384068279,0.4668563300142248,0.530298719772404,,,,1.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=None; min_samples_leaf=1,0.5107539118065434,0.016306950867680046,0.5229018492176387,0.4992887624466572,0.5310099573257467,0.4857752489331437,0.5147937411095306,,,,1.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=None; min_samples_leaf=1,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,,1.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=balanced; max_depth=None; min_samples_leaf=1,0.5143669985775249,0.04119562568580703,0.5802275960170697,0.48307254623044094,0.5458036984352774,0.48036984352773826,0.48236130867709814,,balanced,,1.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=balanced; max_depth=None; min_samples_leaf=1,0.5143669985775249,0.04119562568580703,0.5802275960170697,0.48307254623044094,0.5458036984352774,0.48036984352773826,0.48236130867709814,,balanced,,1.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=balanced; max_depth=None; min_samples_leaf=1,0.5143669985775249,0.04119562568580703,0.5802275960170697,0.48307254623044094,0.5458036984352774,0.48036984352773826,0.48236130867709814,,balanced,,1.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=balanced; max_depth=None; min_samples_leaf=1,0.5147652916073968,0.041499369798688505,0.5802275960170697,0.4749644381223329,0.5431009957325748,0.4722617354196301,0.503271692745377,,balanced,,1.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=balanced; max_depth=None; min_samples_leaf=1,0.5574679943100996,0.0691372657418424,0.6550497866287339,0.5281650071123756,0.6051209103840682,0.5470839260312945,0.4519203413940256,,balanced,,1.0,0.01,
DecisionTreeClassifier,ccp_alpha=0.0; class_weight=None; max_depth=None; min_samples_leaf=5,0.5122332859174964,0.014105617768046332,0.520199146514936,0.49388335704125175,0.5275960170697013,0.49658605974395453,0.5229018492176387,,,,5.0,0.0,
DecisionTreeClassifier,ccp_alpha=0.0005; class_weight=None; max_depth=None; min_samples_leaf=5,0.5133143669985776,0.013031176365105515,0.520199146514936,0.49388335704125175,0.5275960170697013,0.5019914651493599,0.5229018492176387,,,,5.0,0.0005,
DecisionTreeClassifier,ccp_alpha=0.001; class_weight=None; max_depth=None; min_samples_leaf=5,0.5133143669985776,0.013031176365105515,0.520199146514936,0.49388335704125175,0.5275960170697013,0.5019914651493599,0.5229018492176387,,,,5.0,0.001,
DecisionTreeClassifier,ccp_alpha=0.005; class_weight=None; max_depth=None; min_samples_leaf=5,0.5135988620199148,0.018822436576127623,0.5283072546230441,0.5073968705547653,0.5384068278805121,0.510099573257468,0.4837837837837838,,,,5.0,0.005,
DecisionTreeClassifier,ccp_alpha=0.01; class_weight=None; max_depth=None; min_samples_leaf=5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,,,,5.0,0.01,
